Covariate,Dataset,Absolute Correlation
State_Name,Unadjusted,0.0243822021282565
populationtotals_TOTPOP20,Unadjusted,0.0206225600522586
populationtotals_DPOP_CY,Unadjusted,0.196386479717054
housing_per_100sqmi,Unadjusted,0.39738576769138
schools_per_100sqmi,Unadjusted,0.399339047018162
area_sq_miles,Unadjusted,0.395238970275334
pop_institutionalized_groupquarters,Unadjusted,0.0820930036190964
percent_adult,Unadjusted,0.00560366003958265
householdincome_ACSSNAP_P,Unadjusted,0.165923463534116
householdincome_ACSPUBAI_P,Unadjusted,0.0949996475450683
households_ACSHHBPOV_P,Unadjusted,0.167977493105902
EmploymentUnemployment_UNEMP_CY_P,Unadjusted,0.0673916213623722
EmploymentUnemployment_UNAGE16CY_P,Unadjusted,0.0366991501356731
vehiclesavailable_ACSOVEH0_P,Unadjusted,0.0179606926178904
crime_CRMCYTOTC,Unadjusted,0.347208197742015
mean_depression,Unadjusted,0.0309083753423109
mean_distress,Unadjusted,0.126736732471088
educationalattainment_ACSBACHDEG_P,Unadjusted,0.0210245295905813
educationalattainment_ACSMASTDEG_P,Unadjusted,0.0548816854682597
firearm_retailers_per_100sqmi,Unadjusted,0.249180373284624
sports_MP33018a_B_P,Unadjusted,0.16683685495083
raceandhispanicorigin_WHITE20_P,Unadjusted,0.225728791443966
raceandhispanicorigin_BLACK20_P,Unadjusted,0.209362468219553
raceandhispanicorigin_ASIAN20_P,Unadjusted,0.167146378321951
raceandhispanicorigin_RACE2UP20_P,Unadjusted,0.249313973085073
hispanicorigin_HISPPOP20_P,Unadjusted,0.251686646198276
log_med_HH_income,Unadjusted,0.177791049904947
log_med_HH_income_15to24,Unadjusted,0.0221813451985581
CompositeIndex2014to2021,Unadjusted,0.00345548718409329
State_Name,Matched,0.122035485271378
populationtotals_TOTPOP20,Matched,0.108374339830449
populationtotals_DPOP_CY,Matched,0.356448956205816
housing_per_100sqmi,Matched,0.325361758912866
schools_per_100sqmi,Matched,0.352063858322417
area_sq_miles,Matched,0.0601021165073922
pop_institutionalized_groupquarters,Matched,0.000480885923638731
percent_adult,Matched,0.0289838762172746
householdincome_ACSSNAP_P,Matched,0.010996174348598
householdincome_ACSPUBAI_P,Matched,0.0520608662536673
households_ACSHHBPOV_P,Matched,0.0276175076904282
EmploymentUnemployment_UNEMP_CY_P,Matched,0.0175879927680346
EmploymentUnemployment_UNAGE16CY_P,Matched,0.00063296997659665
vehiclesavailable_ACSOVEH0_P,Matched,0.125200576660144
crime_CRMCYTOTC,Matched,0.0865686998522874
mean_depression,Matched,0.0144917914999417
mean_distress,Matched,0.151168834489574
educationalattainment_ACSBACHDEG_P,Matched,0.137833300800486
educationalattainment_ACSMASTDEG_P,Matched,0.0214183200943707
firearm_retailers_per_100sqmi,Matched,0.279022416071281
sports_MP33018a_B_P,Matched,0.206123542033167
raceandhispanicorigin_WHITE20_P,Matched,0.229630735267526
raceandhispanicorigin_BLACK20_P,Matched,0.279863774549414
raceandhispanicorigin_ASIAN20_P,Matched,0.132986996148498
raceandhispanicorigin_RACE2UP20_P,Matched,0.148579734528595
hispanicorigin_HISPPOP20_P,Matched,0.0914788483035538
log_med_HH_income,Matched,0.0245466922279258
log_med_HH_income_15to24,Matched,0.0457655941287797
CompositeIndex2014to2021,Matched,0.0249754731178925
