Covariate,Dataset,Absolute Correlation
State_Name,Unadjusted,0.0243822021282565
populationtotals_TOTPOP20,Unadjusted,0.0206225600522586
populationtotals_DPOP_CY,Unadjusted,0.196386479717054
housing_per_100sqmi,Unadjusted,0.39738576769138
schools_per_100sqmi,Unadjusted,0.399339047018162
area_sq_miles,Unadjusted,0.395238970275334
pop_institutionalized_groupquarters,Unadjusted,0.0820930036190964
percent_adult,Unadjusted,0.00560366003958265
householdincome_ACSSNAP_P,Unadjusted,0.165923463534116
householdincome_ACSPUBAI_P,Unadjusted,0.0949996475450683
households_ACSHHBPOV_P,Unadjusted,0.167977493105902
EmploymentUnemployment_UNEMP_CY_P,Unadjusted,0.0673916213623722
EmploymentUnemployment_UNAGE16CY_P,Unadjusted,0.0366991501356731
vehiclesavailable_ACSOVEH0_P,Unadjusted,0.0179606926178904
crime_CRMCYTOTC,Unadjusted,0.347208197742015
mean_depression,Unadjusted,0.0309083753423109
mean_distress,Unadjusted,0.126736732471088
educationalattainment_ACSBACHDEG_P,Unadjusted,0.0210245295905813
educationalattainment_ACSMASTDEG_P,Unadjusted,0.0548816854682597
firearm_retailers_per_100sqmi,Unadjusted,0.249180373284624
sports_MP33018a_B_P,Unadjusted,0.16683685495083
raceandhispanicorigin_WHITE20_P,Unadjusted,0.225728791443966
raceandhispanicorigin_BLACK20_P,Unadjusted,0.209362468219553
raceandhispanicorigin_ASIAN20_P,Unadjusted,0.167146378321951
raceandhispanicorigin_RACE2UP20_P,Unadjusted,0.249313973085073
hispanicorigin_HISPPOP20_P,Unadjusted,0.251686646198276
log_med_HH_income,Unadjusted,0.177791049904947
log_med_HH_income_15to24,Unadjusted,0.0221813451985581
CompositeIndex2014to2021,Unadjusted,0.00345548718409329
State_Name,Weighted,0.00598827478727532
populationtotals_TOTPOP20,Weighted,0.0413407597193909
populationtotals_DPOP_CY,Weighted,0.000626321112338856
housing_per_100sqmi,Weighted,0.0229978767662074
schools_per_100sqmi,Weighted,0.00133458026193838
area_sq_miles,Weighted,0.0803031513803311
pop_institutionalized_groupquarters,Weighted,0.0137131152190772
percent_adult,Weighted,0.0120037398535504
householdincome_ACSSNAP_P,Weighted,0.0115606900265841
householdincome_ACSPUBAI_P,Weighted,0.0128415039109014
households_ACSHHBPOV_P,Weighted,0.0237422817979179
EmploymentUnemployment_UNEMP_CY_P,Weighted,0.00697626149790185
EmploymentUnemployment_UNAGE16CY_P,Weighted,0.0083614082103516
vehiclesavailable_ACSOVEH0_P,Weighted,0.0332159063029049
crime_CRMCYTOTC,Weighted,0.00337188167695139
mean_depression,Weighted,0.00956018336500749
mean_distress,Weighted,0.0484122128324188
educationalattainment_ACSBACHDEG_P,Weighted,0.0292550810081729
educationalattainment_ACSMASTDEG_P,Weighted,0.0861783374660302
firearm_retailers_per_100sqmi,Weighted,0.0162164475038246
sports_MP33018a_B_P,Weighted,0.0187111332640889
raceandhispanicorigin_WHITE20_P,Weighted,0.0344467672963554
raceandhispanicorigin_BLACK20_P,Weighted,0.0196609481216968
raceandhispanicorigin_ASIAN20_P,Weighted,0.0447594757616973
raceandhispanicorigin_RACE2UP20_P,Weighted,0.0241252365176984
hispanicorigin_HISPPOP20_P,Weighted,0.00576704926074905
log_med_HH_income,Weighted,0.0183414812823639
log_med_HH_income_15to24,Weighted,0.0251181114415061
CompositeIndex2014to2021,Weighted,0.0264770535271261
