Covariate,Dataset,Absolute Correlation
State_Name,Unadjusted,0.0243822021282565
urbanicity,Unadjusted,0.121620914560471
populationtotals_TOTPOP20,Unadjusted,0.0206225600522586
populationtotals_DPOP_CY,Unadjusted,0.196386479717054
housing_per_100sqmi,Unadjusted,0.39738576769138
schools_per_100sqmi,Unadjusted,0.399339047018162
area_sq_miles,Unadjusted,0.395238970275334
pop_institutionalized_groupquarters,Unadjusted,0.0820930036190964
percent_adult,Unadjusted,0.00560366003958265
householdincome_ACSSNAP_P,Unadjusted,0.165923463534116
householdincome_ACSPUBAI_P,Unadjusted,0.0949996475450683
households_ACSHHBPOV_P,Unadjusted,0.167977493105902
EmploymentUnemployment_UNEMP_CY_P,Unadjusted,0.0673916213623722
EmploymentUnemployment_UNAGE16CY_P,Unadjusted,0.0366991501356731
vehiclesavailable_ACSOVEH0_P,Unadjusted,0.0179606926178904
crime_CRMCYTOTC,Unadjusted,0.347208197742015
mean_depression,Unadjusted,0.0309083753423109
mean_distress,Unadjusted,0.126736732471088
educationalattainment_ACSBACHDEG_P,Unadjusted,0.0210245295905813
educationalattainment_ACSMASTDEG_P,Unadjusted,0.0548816854682597
firearm_retailers_per_100sqmi,Unadjusted,0.249180373284624
sports_MP33018a_B_P,Unadjusted,0.16683685495083
raceandhispanicorigin_WHITE20_P,Unadjusted,0.225728791443966
raceandhispanicorigin_BLACK20_P,Unadjusted,0.209362468219553
raceandhispanicorigin_ASIAN20_P,Unadjusted,0.167146378321951
raceandhispanicorigin_RACE2UP20_P,Unadjusted,0.249313973085073
hispanicorigin_HISPPOP20_P,Unadjusted,0.251686646198276
log_med_HH_income,Unadjusted,0.177791049904947
log_med_HH_income_15to24,Unadjusted,0.0221813451985581
CompositeIndex2014to2021,Unadjusted,0.00345548718409329
State_Name,Weighted,0.0117464328058055
urbanicity,Weighted,0.0633529506421487
populationtotals_TOTPOP20,Weighted,0.0294565383848414
populationtotals_DPOP_CY,Weighted,0.0479691482870894
housing_per_100sqmi,Weighted,0.0263509300947552
schools_per_100sqmi,Weighted,0.0730741931860474
area_sq_miles,Weighted,0.0144084871720465
pop_institutionalized_groupquarters,Weighted,0.0223353598737073
percent_adult,Weighted,0.0353245169824737
householdincome_ACSSNAP_P,Weighted,0.0225839281197848
householdincome_ACSPUBAI_P,Weighted,0.055027884853521
households_ACSHHBPOV_P,Weighted,0.0259725404372267
EmploymentUnemployment_UNEMP_CY_P,Weighted,0.0028469092847637
EmploymentUnemployment_UNAGE16CY_P,Weighted,0.00659938784832147
vehiclesavailable_ACSOVEH0_P,Weighted,0.00209328371471203
crime_CRMCYTOTC,Weighted,0.0083419879109356
mean_depression,Weighted,0.0532086560880305
mean_distress,Weighted,0.0208008854845715
educationalattainment_ACSBACHDEG_P,Weighted,0.0808116269179256
educationalattainment_ACSMASTDEG_P,Weighted,0.0411215452041106
firearm_retailers_per_100sqmi,Weighted,0.0322697465570984
sports_MP33018a_B_P,Weighted,0.0368867984315787
raceandhispanicorigin_WHITE20_P,Weighted,0.00748565850748197
raceandhispanicorigin_BLACK20_P,Weighted,0.059782193452763
raceandhispanicorigin_ASIAN20_P,Weighted,0.047308959181659
raceandhispanicorigin_RACE2UP20_P,Weighted,0.0114429972984277
hispanicorigin_HISPPOP20_P,Weighted,0.0355105509901799
log_med_HH_income,Weighted,0.0206554003194736
log_med_HH_income_15to24,Weighted,0.0280178765138348
CompositeIndex2014to2021,Weighted,0.0643266023103046
