Covariate,Dataset,Absolute Correlation
State_Name,Unadjusted,0.0155708064887392
populationtotals_TOTPOP20,Unadjusted,0.0157989414904155
populationtotals_DPOP_CY,Unadjusted,0.139094767721796
housing_per_100sqmi,Unadjusted,0.245353921266738
schools_per_100sqmi,Unadjusted,0.246417694497104
area_sq_miles,Unadjusted,0.239697267592387
pop_institutionalized_groupquarters,Unadjusted,0.0765324733640734
percent_adult,Unadjusted,0.0249224482249321
householdincome_ACSSNAP_P,Unadjusted,0.0785926865330598
householdincome_ACSPUBAI_P,Unadjusted,0.0449479565173324
households_ACSHHBPOV_P,Unadjusted,0.0766577047174338
EmploymentUnemployment_UNEMP_CY_P,Unadjusted,0.00583049735048458
EmploymentUnemployment_UNAGE16CY_P,Unadjusted,0.00282234414969057
vehiclesavailable_ACSOVEH0_P,Unadjusted,0.0376558220972226
crime_CRMCYTOTC,Unadjusted,0.209495000577264
mean_depression,Unadjusted,0.0738056611244039
mean_distress,Unadjusted,0.0611496564849781
educationalattainment_ACSBACHDEG_P,Unadjusted,0.00457661292629149
educationalattainment_ACSMASTDEG_P,Unadjusted,0.0377593353064093
firearm_retailers_per_100sqmi,Unadjusted,0.444768950583644
sports_MP33018a_B_P,Unadjusted,0.0427323641469258
raceandhispanicorigin_WHITE20_P,Unadjusted,0.0632262122971715
raceandhispanicorigin_BLACK20_P,Unadjusted,0.0650784070937635
raceandhispanicorigin_ASIAN20_P,Unadjusted,0.090336701837732
raceandhispanicorigin_RACE2UP20_P,Unadjusted,0.188477179400153
hispanicorigin_HISPPOP20_P,Unadjusted,0.159623324167742
log_med_HH_income,Unadjusted,0.109436018724805
log_med_HH_income_15to24,Unadjusted,0.0360377973812151
CompositeIndex2014to2021,Unadjusted,0.026121925907714
State_Name,Matched,0.0749254761308085
populationtotals_TOTPOP20,Matched,0.114401025467897
populationtotals_DPOP_CY,Matched,0.239726426659378
housing_per_100sqmi,Matched,0.231015212902559
schools_per_100sqmi,Matched,0.234161282764787
area_sq_miles,Matched,0.0247994460089435
pop_institutionalized_groupquarters,Matched,0.014648707064553
percent_adult,Matched,0.00668111029855516
householdincome_ACSSNAP_P,Matched,0.0208928299162732
householdincome_ACSPUBAI_P,Matched,0.0212801415311005
households_ACSHHBPOV_P,Matched,0.00814809353359419
EmploymentUnemployment_UNEMP_CY_P,Matched,0.00784655700907524
EmploymentUnemployment_UNAGE16CY_P,Matched,0.0322309677877309
vehiclesavailable_ACSOVEH0_P,Matched,0.123350283945234
crime_CRMCYTOTC,Matched,0.0193693375402231
mean_depression,Matched,0.00782879632839442
mean_distress,Matched,0.0872198876243051
educationalattainment_ACSBACHDEG_P,Matched,0.0549831709677475
educationalattainment_ACSMASTDEG_P,Matched,0.156393523717613
firearm_retailers_per_100sqmi,Matched,0.144007827152527
sports_MP33018a_B_P,Matched,0.105360956768267
raceandhispanicorigin_WHITE20_P,Matched,0.127632197823747
raceandhispanicorigin_BLACK20_P,Matched,0.170140263603991
raceandhispanicorigin_ASIAN20_P,Matched,0.126932970382877
raceandhispanicorigin_RACE2UP20_P,Matched,0.119896658622258
hispanicorigin_HISPPOP20_P,Matched,0.0173336431593496
log_med_HH_income,Matched,0.0096548738830496
log_med_HH_income_15to24,Matched,0.00100301425170055
CompositeIndex2014to2021,Matched,0.0203743135240453
