Covariate,Dataset,Absolute Correlation
State_Name,Unadjusted,0.0155708064887392
populationtotals_TOTPOP20,Unadjusted,0.00670542962333438
populationtotals_DPOP_CY,Unadjusted,0.109076930666363
housing_per_100sqmi,Unadjusted,0.187172217387218
schools_per_100sqmi,Unadjusted,0.194639516468145
area_sq_miles,Unadjusted,0.17943906381454
pop_institutionalized_groupquarters,Unadjusted,0.0740081147827338
percent_adult,Unadjusted,0.0243203340891756
householdincome_ACSSNAP_P,Unadjusted,0.0860369371849654
householdincome_ACSPUBAI_P,Unadjusted,0.0424154397234385
households_ACSHHBPOV_P,Unadjusted,0.0908250242930516
EmploymentUnemployment_UNEMP_CY_P,Unadjusted,0.00494678813329534
EmploymentUnemployment_UNAGE16CY_P,Unadjusted,0.00216173552367801
vehiclesavailable_ACSOVEH0_P,Unadjusted,0.0336182557859235
crime_CRMCYTOTC,Unadjusted,0.188772969847205
mean_depression,Unadjusted,0.0922852813982357
mean_distress,Unadjusted,0.0735618514762626
educationalattainment_ACSBACHDEG_P,Unadjusted,0.0253158470935636
educationalattainment_ACSMASTDEG_P,Unadjusted,0.0656370945552398
firearm_retailers_per_100sqmi,Unadjusted,0.416805030812499
sports_MP33018a_B_P,Unadjusted,0.01497694623016
raceandhispanicorigin_WHITE20_P,Unadjusted,0.0364630746948226
raceandhispanicorigin_BLACK20_P,Unadjusted,0.0323607537664119
raceandhispanicorigin_ASIAN20_P,Unadjusted,0.0373871702139588
raceandhispanicorigin_RACE2UP20_P,Unadjusted,0.164348749012409
hispanicorigin_HISPPOP20_P,Unadjusted,0.134130683970868
log_med_HH_income,Unadjusted,0.130916867882875
log_med_HH_income_15to24,Unadjusted,0.0441120206019956
CompositeIndex2014to2021,Unadjusted,0.0376455950778218
State_Name,Weighted,0.0384930172434309
populationtotals_TOTPOP20,Weighted,0.0111906945231438
populationtotals_DPOP_CY,Weighted,0.00274831697123154
housing_per_100sqmi,Weighted,0.00360578597301926
schools_per_100sqmi,Weighted,0.00511387443052798
area_sq_miles,Weighted,0.00846874039470323
pop_institutionalized_groupquarters,Weighted,0.0107528200342735
percent_adult,Weighted,0.0427730333452119
householdincome_ACSSNAP_P,Weighted,0.020803713851507
householdincome_ACSPUBAI_P,Weighted,0.0531966581784911
households_ACSHHBPOV_P,Weighted,0.0185855620862176
EmploymentUnemployment_UNEMP_CY_P,Weighted,0.00822905738040572
EmploymentUnemployment_UNAGE16CY_P,Weighted,0.0126450205416054
vehiclesavailable_ACSOVEH0_P,Weighted,0.0299619297002002
crime_CRMCYTOTC,Weighted,0.0705867355057681
mean_depression,Weighted,0.0451010407114801
mean_distress,Weighted,0.0433138297238221
educationalattainment_ACSBACHDEG_P,Weighted,0.0732346929665803
educationalattainment_ACSMASTDEG_P,Weighted,0.236858711317501
firearm_retailers_per_100sqmi,Weighted,0.0767911348186356
sports_MP33018a_B_P,Weighted,0.0475000482925213
raceandhispanicorigin_WHITE20_P,Weighted,0.041182448013889
raceandhispanicorigin_BLACK20_P,Weighted,0.0676897379761033
raceandhispanicorigin_ASIAN20_P,Weighted,0.00337883005740723
raceandhispanicorigin_RACE2UP20_P,Weighted,0.00999976198282041
hispanicorigin_HISPPOP20_P,Weighted,0.0875992965569038
log_med_HH_income,Weighted,0.0320159746605304
log_med_HH_income_15to24,Weighted,0.0316105313312774
CompositeIndex2014to2021,Weighted,0.0202561208913539
