Covariate,Dataset,Absolute Correlation
State_Name,Unadjusted,0.0155708064887392
urbanicity,Unadjusted,0.071764875853007
populationtotals_TOTPOP20,Unadjusted,0.0157989414904155
populationtotals_DPOP_CY,Unadjusted,0.139094767721796
housing_per_100sqmi,Unadjusted,0.245353921266738
schools_per_100sqmi,Unadjusted,0.246417694497104
area_sq_miles,Unadjusted,0.239697267592387
pop_institutionalized_groupquarters,Unadjusted,0.0765324733640734
percent_adult,Unadjusted,0.0249224482249321
householdincome_ACSSNAP_P,Unadjusted,0.0785926865330598
householdincome_ACSPUBAI_P,Unadjusted,0.0449479565173324
households_ACSHHBPOV_P,Unadjusted,0.0766577047174338
EmploymentUnemployment_UNEMP_CY_P,Unadjusted,0.00583049735048458
EmploymentUnemployment_UNAGE16CY_P,Unadjusted,0.00282234414969057
vehiclesavailable_ACSOVEH0_P,Unadjusted,0.0376558220972226
crime_CRMCYTOTC,Unadjusted,0.209495000577264
mean_depression,Unadjusted,0.0738056611244039
mean_distress,Unadjusted,0.0611496564849781
educationalattainment_ACSBACHDEG_P,Unadjusted,0.00457661292629149
educationalattainment_ACSMASTDEG_P,Unadjusted,0.0377593353064093
firearm_retailers_per_100sqmi,Unadjusted,0.444768950583644
sports_MP33018a_B_P,Unadjusted,0.0427323641469258
raceandhispanicorigin_WHITE20_P,Unadjusted,0.0632262122971715
raceandhispanicorigin_BLACK20_P,Unadjusted,0.0650784070937635
raceandhispanicorigin_ASIAN20_P,Unadjusted,0.090336701837732
raceandhispanicorigin_RACE2UP20_P,Unadjusted,0.188477179400153
hispanicorigin_HISPPOP20_P,Unadjusted,0.159623324167742
log_med_HH_income,Unadjusted,0.109436018724805
log_med_HH_income_15to24,Unadjusted,0.0360377973812151
CompositeIndex2014to2021,Unadjusted,0.026121925907714
State_Name,Weighted,0.0158730303931117
urbanicity,Weighted,0.0300223984026904
populationtotals_TOTPOP20,Weighted,0.0929827379193711
populationtotals_DPOP_CY,Weighted,0.0851236962713364
housing_per_100sqmi,Weighted,0.0904058002326502
schools_per_100sqmi,Weighted,0.00202554951150259
area_sq_miles,Weighted,0.0230994220321269
pop_institutionalized_groupquarters,Weighted,0.00873074719856822
percent_adult,Weighted,0.00648515755285871
householdincome_ACSSNAP_P,Weighted,0.0288035224351767
householdincome_ACSPUBAI_P,Weighted,0.0272478028694999
households_ACSHHBPOV_P,Weighted,0.00363978336740086
EmploymentUnemployment_UNEMP_CY_P,Weighted,0.0183356167343924
EmploymentUnemployment_UNAGE16CY_P,Weighted,0.0595513028014964
vehiclesavailable_ACSOVEH0_P,Weighted,0.025720716385308
crime_CRMCYTOTC,Weighted,0.0105099202478069
mean_depression,Weighted,0.0476814655640362
mean_distress,Weighted,0.00883448357422782
educationalattainment_ACSBACHDEG_P,Weighted,0.259344616561358
educationalattainment_ACSMASTDEG_P,Weighted,0.00504066101359631
firearm_retailers_per_100sqmi,Weighted,0.0164541284643759
sports_MP33018a_B_P,Weighted,0.021659746469568
raceandhispanicorigin_WHITE20_P,Weighted,0.053963413147016
raceandhispanicorigin_BLACK20_P,Weighted,0.0221175200415689
raceandhispanicorigin_ASIAN20_P,Weighted,0.0244583264446237
raceandhispanicorigin_RACE2UP20_P,Weighted,0.00609568115795441
hispanicorigin_HISPPOP20_P,Weighted,0.0490531608170412
log_med_HH_income,Weighted,0.0179309160450292
log_med_HH_income_15to24,Weighted,0.0238650701423333
CompositeIndex2014to2021,Weighted,0.049685615823159
