Covariate,Dataset,Absolute Correlation
State_Name,Unadjusted,0.0155708064887392
urbanicity,Unadjusted,0.071764875853007
populationtotals_TOTPOP20,Unadjusted,0.00670542962333438
populationtotals_DPOP_CY,Unadjusted,0.109076930666363
housing_per_100sqmi,Unadjusted,0.187172217387218
schools_per_100sqmi,Unadjusted,0.194639516468145
area_sq_miles,Unadjusted,0.17943906381454
pop_institutionalized_groupquarters,Unadjusted,0.0740081147827338
percent_adult,Unadjusted,0.0243203340891756
householdincome_ACSSNAP_P,Unadjusted,0.0860369371849654
householdincome_ACSPUBAI_P,Unadjusted,0.0424154397234385
households_ACSHHBPOV_P,Unadjusted,0.0908250242930516
EmploymentUnemployment_UNEMP_CY_P,Unadjusted,0.00494678813329534
EmploymentUnemployment_UNAGE16CY_P,Unadjusted,0.00216173552367801
vehiclesavailable_ACSOVEH0_P,Unadjusted,0.0336182557859235
crime_CRMCYTOTC,Unadjusted,0.188772969847205
mean_depression,Unadjusted,0.0922852813982357
mean_distress,Unadjusted,0.0735618514762626
educationalattainment_ACSBACHDEG_P,Unadjusted,0.0253158470935636
educationalattainment_ACSMASTDEG_P,Unadjusted,0.0656370945552398
firearm_retailers_per_100sqmi,Unadjusted,0.416805030812499
sports_MP33018a_B_P,Unadjusted,0.01497694623016
raceandhispanicorigin_WHITE20_P,Unadjusted,0.0364630746948226
raceandhispanicorigin_BLACK20_P,Unadjusted,0.0323607537664119
raceandhispanicorigin_ASIAN20_P,Unadjusted,0.0373871702139588
raceandhispanicorigin_RACE2UP20_P,Unadjusted,0.164348749012409
hispanicorigin_HISPPOP20_P,Unadjusted,0.134130683970868
log_med_HH_income,Unadjusted,0.130916867882875
log_med_HH_income_15to24,Unadjusted,0.0441120206019956
CompositeIndex2014to2021,Unadjusted,0.0376455950778218
State_Name,Matched,0.023126393899999
urbanicity,Matched,0.0569993483944669
populationtotals_TOTPOP20,Matched,0.101569763169153
populationtotals_DPOP_CY,Matched,0.099229052865046
housing_per_100sqmi,Matched,0.0960387090360441
schools_per_100sqmi,Matched,0.0177926085132545
area_sq_miles,Matched,0.0171773572818789
pop_institutionalized_groupquarters,Matched,0.0170336406404537
percent_adult,Matched,0.0237166760202268
householdincome_ACSSNAP_P,Matched,0.0144360921055217
householdincome_ACSPUBAI_P,Matched,0.0115517854191979
households_ACSHHBPOV_P,Matched,0.00256888084792452
EmploymentUnemployment_UNEMP_CY_P,Matched,0.0169668207508638
EmploymentUnemployment_UNAGE16CY_P,Matched,0.0656178142803587
vehiclesavailable_ACSOVEH0_P,Matched,0.0281665312396981
crime_CRMCYTOTC,Matched,0.0209824726173076
mean_depression,Matched,0.0120894829221694
mean_distress,Matched,0.011236111614582
educationalattainment_ACSBACHDEG_P,Matched,0.14311967742041
educationalattainment_ACSMASTDEG_P,Matched,0.0279036969743423
firearm_retailers_per_100sqmi,Matched,0.0304145430892346
sports_MP33018a_B_P,Matched,0.0367812365334082
raceandhispanicorigin_WHITE20_P,Matched,0.0399516457405376
raceandhispanicorigin_BLACK20_P,Matched,0.0678117102036086
raceandhispanicorigin_ASIAN20_P,Matched,0.0547659886083543
raceandhispanicorigin_RACE2UP20_P,Matched,0.0319524993687029
hispanicorigin_HISPPOP20_P,Matched,0.0196346935004902
log_med_HH_income,Matched,0.00602010853040323
log_med_HH_income_15to24,Matched,0.0171444697465872
CompositeIndex2014to2021,Matched,0.0185513193248647
