Covariate,Dataset,Absolute Correlation
State_Name,Unadjusted,0.0243822021282565
urbanicity,Unadjusted,0.121620914560471
populationtotals_TOTPOP20,Unadjusted,0.014753110276831
populationtotals_DPOP_CY,Unadjusted,0.159207826696649
housing_per_100sqmi,Unadjusted,0.339237562631016
schools_per_100sqmi,Unadjusted,0.346915580202829
area_sq_miles,Unadjusted,0.336011913100373
pop_institutionalized_groupquarters,Unadjusted,0.0941414941110325
percent_adult,Unadjusted,0.00279364789603793
householdincome_ACSSNAP_P,Unadjusted,0.167313269863756
householdincome_ACSPUBAI_P,Unadjusted,0.0959515349230938
households_ACSHHBPOV_P,Unadjusted,0.177086870710003
EmploymentUnemployment_UNEMP_CY_P,Unadjusted,0.062372399686617
EmploymentUnemployment_UNAGE16CY_P,Unadjusted,0.0353275022703643
vehiclesavailable_ACSOVEH0_P,Unadjusted,0.0187002757499849
crime_CRMCYTOTC,Unadjusted,0.327531102540741
mean_depression,Unadjusted,0.0369912829568057
mean_distress,Unadjusted,0.123073879577099
educationalattainment_ACSBACHDEG_P,Unadjusted,0.045886195266677
educationalattainment_ACSMASTDEG_P,Unadjusted,0.086453311582242
firearm_retailers_per_100sqmi,Unadjusted,0.222083330601235
sports_MP33018a_B_P,Unadjusted,0.110219305890242
raceandhispanicorigin_WHITE20_P,Unadjusted,0.19548342587606
raceandhispanicorigin_BLACK20_P,Unadjusted,0.164823607434399
raceandhispanicorigin_ASIAN20_P,Unadjusted,0.116878627138069
raceandhispanicorigin_RACE2UP20_P,Unadjusted,0.229621380466789
hispanicorigin_HISPPOP20_P,Unadjusted,0.231250254272421
log_med_HH_income,Unadjusted,0.198241584584339
log_med_HH_income_15to24,Unadjusted,0.0333709426180649
CompositeIndex2014to2021,Unadjusted,0.0227275752491784
State_Name,Matched,0.0142824017362093
urbanicity,Matched,0.0719522220499753
populationtotals_TOTPOP20,Matched,0.252304884233924
populationtotals_DPOP_CY,Matched,0.232503496043412
housing_per_100sqmi,Matched,0.249665361720484
schools_per_100sqmi,Matched,0.0109054049742604
area_sq_miles,Matched,0.00434523442579017
pop_institutionalized_groupquarters,Matched,0.0683110861421747
percent_adult,Matched,0.0509377636776407
householdincome_ACSSNAP_P,Matched,0.066869445976481
householdincome_ACSPUBAI_P,Matched,0.0350983079925924
households_ACSHHBPOV_P,Matched,0.0373475004054775
EmploymentUnemployment_UNEMP_CY_P,Matched,0.0036617423245886
EmploymentUnemployment_UNAGE16CY_P,Matched,0.170887047714959
vehiclesavailable_ACSOVEH0_P,Matched,0.0200479575694984
crime_CRMCYTOTC,Matched,0.0627493398859957
mean_depression,Matched,0.021520462872613
mean_distress,Matched,0.0145098997329465
educationalattainment_ACSBACHDEG_P,Matched,0.059355551952752
educationalattainment_ACSMASTDEG_P,Matched,0.140296890566461
firearm_retailers_per_100sqmi,Matched,0.177304037960019
sports_MP33018a_B_P,Matched,0.162613219756735
raceandhispanicorigin_WHITE20_P,Matched,0.134977409048564
raceandhispanicorigin_BLACK20_P,Matched,0.129669130363113
raceandhispanicorigin_ASIAN20_P,Matched,0.141650665602261
raceandhispanicorigin_RACE2UP20_P,Matched,0.0750676122186081
hispanicorigin_HISPPOP20_P,Matched,0.0115436241925196
log_med_HH_income,Matched,0.00680469870819815
log_med_HH_income_15to24,Matched,0.0184448531177383
CompositeIndex2014to2021,Matched,0.0665435135132389
