Covariate,Dataset,Absolute Correlation
State_Name,Unadjusted,0.0243822021282565
populationtotals_TOTPOP20,Unadjusted,0.014753110276831
populationtotals_DPOP_CY,Unadjusted,0.159207826696649
housing_per_100sqmi,Unadjusted,0.339237562631016
schools_per_100sqmi,Unadjusted,0.346915580202829
area_sq_miles,Unadjusted,0.336011913100373
pop_institutionalized_groupquarters,Unadjusted,0.0941414941110325
percent_adult,Unadjusted,0.00279364789603793
householdincome_ACSSNAP_P,Unadjusted,0.167313269863756
householdincome_ACSPUBAI_P,Unadjusted,0.0959515349230938
households_ACSHHBPOV_P,Unadjusted,0.177086870710003
EmploymentUnemployment_UNEMP_CY_P,Unadjusted,0.062372399686617
EmploymentUnemployment_UNAGE16CY_P,Unadjusted,0.0353275022703643
vehiclesavailable_ACSOVEH0_P,Unadjusted,0.0187002757499849
crime_CRMCYTOTC,Unadjusted,0.327531102540741
mean_depression,Unadjusted,0.0369912829568057
mean_distress,Unadjusted,0.123073879577099
educationalattainment_ACSBACHDEG_P,Unadjusted,0.045886195266677
educationalattainment_ACSMASTDEG_P,Unadjusted,0.086453311582242
firearm_retailers_per_100sqmi,Unadjusted,0.222083330601235
sports_MP33018a_B_P,Unadjusted,0.110219305890242
raceandhispanicorigin_WHITE20_P,Unadjusted,0.19548342587606
raceandhispanicorigin_BLACK20_P,Unadjusted,0.164823607434399
raceandhispanicorigin_ASIAN20_P,Unadjusted,0.116878627138069
raceandhispanicorigin_RACE2UP20_P,Unadjusted,0.229621380466789
hispanicorigin_HISPPOP20_P,Unadjusted,0.231250254272421
log_med_HH_income,Unadjusted,0.198241584584339
log_med_HH_income_15to24,Unadjusted,0.0333709426180649
CompositeIndex2014to2021,Unadjusted,0.0227275752491784
State_Name,Matched,0.0348452839492594
populationtotals_TOTPOP20,Matched,0.00498490842325994
populationtotals_DPOP_CY,Matched,0.094634713442232
housing_per_100sqmi,Matched,0.0629309397865817
schools_per_100sqmi,Matched,0.00195314881322882
area_sq_miles,Matched,0.0790907151001739
pop_institutionalized_groupquarters,Matched,0.18612644052856
percent_adult,Matched,0.0555025897566888
householdincome_ACSSNAP_P,Matched,0.148431481575942
householdincome_ACSPUBAI_P,Matched,0.039077744047372
households_ACSHHBPOV_P,Matched,0.15635224071252
EmploymentUnemployment_UNEMP_CY_P,Matched,0.0274257732281861
EmploymentUnemployment_UNAGE16CY_P,Matched,0.0794233545103942
vehiclesavailable_ACSOVEH0_P,Matched,0.0125701374579316
crime_CRMCYTOTC,Matched,0.0728760175769267
mean_depression,Matched,0.0235568847656523
mean_distress,Matched,0.0451014027150515
educationalattainment_ACSBACHDEG_P,Matched,0.155051928013454
educationalattainment_ACSMASTDEG_P,Matched,0.177719185068323
firearm_retailers_per_100sqmi,Matched,0.134827027093191
sports_MP33018a_B_P,Matched,0.155882998358614
raceandhispanicorigin_WHITE20_P,Matched,0.088277284261661
raceandhispanicorigin_BLACK20_P,Matched,0.122859185428923
raceandhispanicorigin_ASIAN20_P,Matched,0.182291268651953
raceandhispanicorigin_RACE2UP20_P,Matched,0.00320440606260387
hispanicorigin_HISPPOP20_P,Matched,0.0229105579574537
log_med_HH_income,Matched,0.178247874308275
log_med_HH_income_15to24,Matched,0.0288110169331093
CompositeIndex2014to2021,Matched,0.0295410187755402
