Covariate,Dataset,Absolute Correlation
State_Name,Unadjusted,0.0243822021282565
urbanicity,Unadjusted,0.121620914560471
populationtotals_TOTPOP20,Unadjusted,0.014753110276831
populationtotals_DPOP_CY,Unadjusted,0.159207826696649
housing_per_100sqmi,Unadjusted,0.339237562631016
schools_per_100sqmi,Unadjusted,0.346915580202829
area_sq_miles,Unadjusted,0.336011913100373
pop_institutionalized_groupquarters,Unadjusted,0.0941414941110325
percent_adult,Unadjusted,0.00279364789603793
householdincome_ACSSNAP_P,Unadjusted,0.167313269863756
householdincome_ACSPUBAI_P,Unadjusted,0.0959515349230938
households_ACSHHBPOV_P,Unadjusted,0.177086870710003
EmploymentUnemployment_UNEMP_CY_P,Unadjusted,0.062372399686617
EmploymentUnemployment_UNAGE16CY_P,Unadjusted,0.0353275022703643
vehiclesavailable_ACSOVEH0_P,Unadjusted,0.0187002757499849
crime_CRMCYTOTC,Unadjusted,0.327531102540741
mean_depression,Unadjusted,0.0369912829568057
mean_distress,Unadjusted,0.123073879577099
educationalattainment_ACSBACHDEG_P,Unadjusted,0.045886195266677
educationalattainment_ACSMASTDEG_P,Unadjusted,0.086453311582242
firearm_retailers_per_100sqmi,Unadjusted,0.222083330601235
sports_MP33018a_B_P,Unadjusted,0.110219305890242
raceandhispanicorigin_WHITE20_P,Unadjusted,0.19548342587606
raceandhispanicorigin_BLACK20_P,Unadjusted,0.164823607434399
raceandhispanicorigin_ASIAN20_P,Unadjusted,0.116878627138069
raceandhispanicorigin_RACE2UP20_P,Unadjusted,0.229621380466789
hispanicorigin_HISPPOP20_P,Unadjusted,0.231250254272421
log_med_HH_income,Unadjusted,0.198241584584339
log_med_HH_income_15to24,Unadjusted,0.0333709426180649
CompositeIndex2014to2021,Unadjusted,0.0227275752491784
State_Name,Matched,0.041200741812556
urbanicity,Matched,0.100586369430622
populationtotals_TOTPOP20,Matched,0.0381659608509633
populationtotals_DPOP_CY,Matched,0.0538110630001314
housing_per_100sqmi,Matched,0.120820099079047
schools_per_100sqmi,Matched,0.088223162837425
area_sq_miles,Matched,0.122116330257006
pop_institutionalized_groupquarters,Matched,0.176681280602197
percent_adult,Matched,0.00973500000096433
householdincome_ACSSNAP_P,Matched,0.0970578423807652
householdincome_ACSPUBAI_P,Matched,0.0323771533128297
households_ACSHHBPOV_P,Matched,0.113209558887862
EmploymentUnemployment_UNEMP_CY_P,Matched,0.0418141619069645
EmploymentUnemployment_UNAGE16CY_P,Matched,0.031782802654611
vehiclesavailable_ACSOVEH0_P,Matched,0.0224056443253918
crime_CRMCYTOTC,Matched,0.0456314699283314
mean_depression,Matched,0.0170387274661204
mean_distress,Matched,0.0310524564318139
educationalattainment_ACSBACHDEG_P,Matched,0.136072647277641
educationalattainment_ACSMASTDEG_P,Matched,0.123261443366712
firearm_retailers_per_100sqmi,Matched,0.12959348719213
sports_MP33018a_B_P,Matched,0.153894012928933
raceandhispanicorigin_WHITE20_P,Matched,0.0956854354753052
raceandhispanicorigin_BLACK20_P,Matched,0.118063085967328
raceandhispanicorigin_ASIAN20_P,Matched,0.141311562798983
raceandhispanicorigin_RACE2UP20_P,Matched,0.00420880564351094
hispanicorigin_HISPPOP20_P,Matched,0.00731103003409248
log_med_HH_income,Matched,0.141079922539095
log_med_HH_income_15to24,Matched,0.0434939461158692
CompositeIndex2014to2021,Matched,0.0158428785794147
