Covariate,Dataset,Absolute Correlation
State_Name,Unadjusted,0.0243822021282565
urbanicity,Unadjusted,0.121620914560471
populationtotals_TOTPOP20,Unadjusted,0.014753110276831
populationtotals_DPOP_CY,Unadjusted,0.159207826696649
housing_per_100sqmi,Unadjusted,0.339237562631016
schools_per_100sqmi,Unadjusted,0.346915580202829
area_sq_miles,Unadjusted,0.336011913100373
pop_institutionalized_groupquarters,Unadjusted,0.0941414941110325
percent_adult,Unadjusted,0.00279364789603793
householdincome_ACSSNAP_P,Unadjusted,0.167313269863756
householdincome_ACSPUBAI_P,Unadjusted,0.0959515349230938
households_ACSHHBPOV_P,Unadjusted,0.177086870710003
EmploymentUnemployment_UNEMP_CY_P,Unadjusted,0.062372399686617
EmploymentUnemployment_UNAGE16CY_P,Unadjusted,0.0353275022703643
vehiclesavailable_ACSOVEH0_P,Unadjusted,0.0187002757499849
crime_CRMCYTOTC,Unadjusted,0.327531102540741
mean_depression,Unadjusted,0.0369912829568057
mean_distress,Unadjusted,0.123073879577099
educationalattainment_ACSBACHDEG_P,Unadjusted,0.045886195266677
educationalattainment_ACSMASTDEG_P,Unadjusted,0.086453311582242
firearm_retailers_per_100sqmi,Unadjusted,0.222083330601235
sports_MP33018a_B_P,Unadjusted,0.110219305890242
raceandhispanicorigin_WHITE20_P,Unadjusted,0.19548342587606
raceandhispanicorigin_BLACK20_P,Unadjusted,0.164823607434399
raceandhispanicorigin_ASIAN20_P,Unadjusted,0.116878627138069
raceandhispanicorigin_RACE2UP20_P,Unadjusted,0.229621380466789
hispanicorigin_HISPPOP20_P,Unadjusted,0.231250254272421
log_med_HH_income,Unadjusted,0.198241584584339
log_med_HH_income_15to24,Unadjusted,0.0333709426180649
CompositeIndex2014to2021,Unadjusted,0.0227275752491784
State_Name,Matched,0.0288826231969731
urbanicity,Matched,0.0507018176136428
populationtotals_TOTPOP20,Matched,0.224737058955051
populationtotals_DPOP_CY,Matched,0.207353944297227
housing_per_100sqmi,Matched,0.222944206172702
schools_per_100sqmi,Matched,0.00821157958527564
area_sq_miles,Matched,0.00261402264579139
pop_institutionalized_groupquarters,Matched,0.0137267229558064
percent_adult,Matched,0.0251616907512102
householdincome_ACSSNAP_P,Matched,0.00985966870731648
householdincome_ACSPUBAI_P,Matched,0.0255974232072585
households_ACSHHBPOV_P,Matched,0.0342035473699655
EmploymentUnemployment_UNEMP_CY_P,Matched,0.00123118907971371
EmploymentUnemployment_UNAGE16CY_P,Matched,0.110219876313674
vehiclesavailable_ACSOVEH0_P,Matched,0.0526088441101758
crime_CRMCYTOTC,Matched,0.019360724396149
mean_depression,Matched,0.0630378041887496
mean_distress,Matched,0.0356824197361533
educationalattainment_ACSBACHDEG_P,Matched,0.019144513310171
educationalattainment_ACSMASTDEG_P,Matched,0.156686413278321
firearm_retailers_per_100sqmi,Matched,0.167037348376001
sports_MP33018a_B_P,Matched,0.146461590473685
raceandhispanicorigin_WHITE20_P,Matched,0.165141018056866
raceandhispanicorigin_BLACK20_P,Matched,0.113914085327417
raceandhispanicorigin_ASIAN20_P,Matched,0.126440329626803
raceandhispanicorigin_RACE2UP20_P,Matched,0.00060282296896827
hispanicorigin_HISPPOP20_P,Matched,0.00197142612523169
log_med_HH_income,Matched,0.000653178762952688
log_med_HH_income_15to24,Matched,0.0148998871447651
CompositeIndex2014to2021,Matched,0.0682503883243729
