Covariate,Dataset,Absolute Correlation
State_Name,Unadjusted,0.0155708064887392
urbanicity,Unadjusted,0.071764875853007
populationtotals_TOTPOP20,Unadjusted,0.00670542962333438
populationtotals_DPOP_CY,Unadjusted,0.109076930666363
housing_per_100sqmi,Unadjusted,0.187172217387218
schools_per_100sqmi,Unadjusted,0.194639516468145
area_sq_miles,Unadjusted,0.17943906381454
pop_institutionalized_groupquarters,Unadjusted,0.0740081147827338
percent_adult,Unadjusted,0.0243203340891756
householdincome_ACSSNAP_P,Unadjusted,0.0860369371849654
householdincome_ACSPUBAI_P,Unadjusted,0.0424154397234385
households_ACSHHBPOV_P,Unadjusted,0.0908250242930516
EmploymentUnemployment_UNEMP_CY_P,Unadjusted,0.00494678813329534
EmploymentUnemployment_UNAGE16CY_P,Unadjusted,0.00216173552367801
vehiclesavailable_ACSOVEH0_P,Unadjusted,0.0336182557859235
crime_CRMCYTOTC,Unadjusted,0.188772969847205
mean_depression,Unadjusted,0.0922852813982357
mean_distress,Unadjusted,0.0735618514762626
educationalattainment_ACSBACHDEG_P,Unadjusted,0.0253158470935636
educationalattainment_ACSMASTDEG_P,Unadjusted,0.0656370945552398
firearm_retailers_per_100sqmi,Unadjusted,0.416805030812499
sports_MP33018a_B_P,Unadjusted,0.01497694623016
raceandhispanicorigin_WHITE20_P,Unadjusted,0.0364630746948226
raceandhispanicorigin_BLACK20_P,Unadjusted,0.0323607537664119
raceandhispanicorigin_ASIAN20_P,Unadjusted,0.0373871702139588
raceandhispanicorigin_RACE2UP20_P,Unadjusted,0.164348749012409
hispanicorigin_HISPPOP20_P,Unadjusted,0.134130683970868
log_med_HH_income,Unadjusted,0.130916867882875
log_med_HH_income_15to24,Unadjusted,0.0441120206019956
CompositeIndex2014to2021,Unadjusted,0.0376455950778218
State_Name,Matched,0.0176677038939044
urbanicity,Matched,0.0500405147044912
populationtotals_TOTPOP20,Matched,0.0935382813025051
populationtotals_DPOP_CY,Matched,0.0922543476114392
housing_per_100sqmi,Matched,0.0896062229065391
schools_per_100sqmi,Matched,0.0201083110773883
area_sq_miles,Matched,0.015456720783411
pop_institutionalized_groupquarters,Matched,0.0175819735675694
percent_adult,Matched,0.0159122424088678
householdincome_ACSSNAP_P,Matched,0.0159328744796058
householdincome_ACSPUBAI_P,Matched,0.0100415114251401
households_ACSHHBPOV_P,Matched,0.0033629461146906
EmploymentUnemployment_UNEMP_CY_P,Matched,0.0147122527946287
EmploymentUnemployment_UNAGE16CY_P,Matched,0.0590212528257125
vehiclesavailable_ACSOVEH0_P,Matched,0.0288554413794334
crime_CRMCYTOTC,Matched,0.019419027573832
mean_depression,Matched,0.00782781168673896
mean_distress,Matched,0.0218019669246244
educationalattainment_ACSBACHDEG_P,Matched,0.145765540628277
educationalattainment_ACSMASTDEG_P,Matched,0.0236178562609559
firearm_retailers_per_100sqmi,Matched,0.0242744636863726
sports_MP33018a_B_P,Matched,0.0335824644568126
raceandhispanicorigin_WHITE20_P,Matched,0.0381560106714608
raceandhispanicorigin_BLACK20_P,Matched,0.0631425130419888
raceandhispanicorigin_ASIAN20_P,Matched,0.0463581853660387
raceandhispanicorigin_RACE2UP20_P,Matched,0.0356797956715189
hispanicorigin_HISPPOP20_P,Matched,0.0207352106140648
log_med_HH_income,Matched,0.00391525560655918
log_med_HH_income_15to24,Matched,0.0181746921792208
CompositeIndex2014to2021,Matched,0.0138284685025847
