Covariate,Dataset,Absolute Correlation
State_Name,Unadjusted,0.0243822021282565
urbanicity,Unadjusted,0.121620914560471
populationtotals_TOTPOP20,Unadjusted,0.014753110276831
populationtotals_DPOP_CY,Unadjusted,0.159207826696649
housing_per_100sqmi,Unadjusted,0.339237562631016
schools_per_100sqmi,Unadjusted,0.346915580202829
area_sq_miles,Unadjusted,0.336011913100373
pop_institutionalized_groupquarters,Unadjusted,0.0941414941110325
percent_adult,Unadjusted,0.00279364789603793
householdincome_ACSSNAP_P,Unadjusted,0.167313269863756
householdincome_ACSPUBAI_P,Unadjusted,0.0959515349230938
households_ACSHHBPOV_P,Unadjusted,0.177086870710003
EmploymentUnemployment_UNEMP_CY_P,Unadjusted,0.062372399686617
EmploymentUnemployment_UNAGE16CY_P,Unadjusted,0.0353275022703643
vehiclesavailable_ACSOVEH0_P,Unadjusted,0.0187002757499849
crime_CRMCYTOTC,Unadjusted,0.327531102540741
mean_depression,Unadjusted,0.0369912829568057
mean_distress,Unadjusted,0.123073879577099
educationalattainment_ACSBACHDEG_P,Unadjusted,0.045886195266677
educationalattainment_ACSMASTDEG_P,Unadjusted,0.086453311582242
firearm_retailers_per_100sqmi,Unadjusted,0.222083330601235
sports_MP33018a_B_P,Unadjusted,0.110219305890242
raceandhispanicorigin_WHITE20_P,Unadjusted,0.19548342587606
raceandhispanicorigin_BLACK20_P,Unadjusted,0.164823607434399
raceandhispanicorigin_ASIAN20_P,Unadjusted,0.116878627138069
raceandhispanicorigin_RACE2UP20_P,Unadjusted,0.229621380466789
hispanicorigin_HISPPOP20_P,Unadjusted,0.231250254272421
log_med_HH_income,Unadjusted,0.198241584584339
log_med_HH_income_15to24,Unadjusted,0.0333709426180649
CompositeIndex2014to2021,Unadjusted,0.0227275752491784
State_Name,Weighted,0.0529311486705417
urbanicity,Weighted,0.0466101593355619
populationtotals_TOTPOP20,Weighted,0.0240005798966156
populationtotals_DPOP_CY,Weighted,0.0403407973391828
housing_per_100sqmi,Weighted,0.0228030863132605
schools_per_100sqmi,Weighted,0.0325356184990822
area_sq_miles,Weighted,0.018339854583295
pop_institutionalized_groupquarters,Weighted,0.0348324981039967
percent_adult,Weighted,0.0077498075322264
householdincome_ACSSNAP_P,Weighted,0.0480925463490656
householdincome_ACSPUBAI_P,Weighted,0.00220086076711222
households_ACSHHBPOV_P,Weighted,0.0159437220805517
EmploymentUnemployment_UNEMP_CY_P,Weighted,0.0276287860413175
EmploymentUnemployment_UNAGE16CY_P,Weighted,0.0190543892113904
vehiclesavailable_ACSOVEH0_P,Weighted,0.0426398371381671
crime_CRMCYTOTC,Weighted,0.0782128045091044
mean_depression,Weighted,0.0228036815943413
mean_distress,Weighted,0.0598364653998698
educationalattainment_ACSBACHDEG_P,Weighted,0.0650530504352765
educationalattainment_ACSMASTDEG_P,Weighted,0.0403485215363433
firearm_retailers_per_100sqmi,Weighted,0.0181907279783143
sports_MP33018a_B_P,Weighted,0.0329140200471548
raceandhispanicorigin_WHITE20_P,Weighted,0.0373702246164178
raceandhispanicorigin_BLACK20_P,Weighted,0.0141654529807764
raceandhispanicorigin_ASIAN20_P,Weighted,0.00197502709805943
raceandhispanicorigin_RACE2UP20_P,Weighted,0.0745314880345402
hispanicorigin_HISPPOP20_P,Weighted,0.0288370241078451
log_med_HH_income,Weighted,0.0117601900828187
log_med_HH_income_15to24,Weighted,0.0211963521032333
CompositeIndex2014to2021,Weighted,0.0486442280396316
