Covariate,Dataset,Absolute Correlation
State_Name,Unadjusted,0.0155708064887392
urbanicity,Unadjusted,0.071764875853007
populationtotals_TOTPOP20,Unadjusted,0.00670542962333438
populationtotals_DPOP_CY,Unadjusted,0.109076930666363
housing_per_100sqmi,Unadjusted,0.187172217387218
schools_per_100sqmi,Unadjusted,0.194639516468145
area_sq_miles,Unadjusted,0.17943906381454
pop_institutionalized_groupquarters,Unadjusted,0.0740081147827338
percent_adult,Unadjusted,0.0243203340891756
householdincome_ACSSNAP_P,Unadjusted,0.0860369371849654
householdincome_ACSPUBAI_P,Unadjusted,0.0424154397234385
households_ACSHHBPOV_P,Unadjusted,0.0908250242930516
EmploymentUnemployment_UNEMP_CY_P,Unadjusted,0.00494678813329534
EmploymentUnemployment_UNAGE16CY_P,Unadjusted,0.00216173552367801
vehiclesavailable_ACSOVEH0_P,Unadjusted,0.0336182557859235
crime_CRMCYTOTC,Unadjusted,0.188772969847205
mean_depression,Unadjusted,0.0922852813982357
mean_distress,Unadjusted,0.0735618514762626
educationalattainment_ACSBACHDEG_P,Unadjusted,0.0253158470935636
educationalattainment_ACSMASTDEG_P,Unadjusted,0.0656370945552398
firearm_retailers_per_100sqmi,Unadjusted,0.416805030812499
sports_MP33018a_B_P,Unadjusted,0.01497694623016
raceandhispanicorigin_WHITE20_P,Unadjusted,0.0364630746948226
raceandhispanicorigin_BLACK20_P,Unadjusted,0.0323607537664119
raceandhispanicorigin_ASIAN20_P,Unadjusted,0.0373871702139588
raceandhispanicorigin_RACE2UP20_P,Unadjusted,0.164348749012409
hispanicorigin_HISPPOP20_P,Unadjusted,0.134130683970868
log_med_HH_income,Unadjusted,0.130916867882875
log_med_HH_income_15to24,Unadjusted,0.0441120206019956
CompositeIndex2014to2021,Unadjusted,0.0376455950778218
State_Name,Weighted,0.0341240582460504
urbanicity,Weighted,0.00783188495783587
populationtotals_TOTPOP20,Weighted,0.00650130966831624
populationtotals_DPOP_CY,Weighted,0.00912934717737968
housing_per_100sqmi,Weighted,0.00975155600779343
schools_per_100sqmi,Weighted,0.0114991237232251
area_sq_miles,Weighted,0.00687292213980583
pop_institutionalized_groupquarters,Weighted,0.0421690891282907
percent_adult,Weighted,0.020364183182283
householdincome_ACSSNAP_P,Weighted,0.0504772289411648
householdincome_ACSPUBAI_P,Weighted,0.0165378406911411
households_ACSHHBPOV_P,Weighted,0.00680576405336431
EmploymentUnemployment_UNEMP_CY_P,Weighted,0.018212990197
EmploymentUnemployment_UNAGE16CY_P,Weighted,0.0198300863890081
vehiclesavailable_ACSOVEH0_P,Weighted,0.0757881722273291
crime_CRMCYTOTC,Weighted,0.0486042543696748
mean_depression,Weighted,0.0451745292043791
mean_distress,Weighted,0.0756990233110966
educationalattainment_ACSBACHDEG_P,Weighted,0.241855974246647
educationalattainment_ACSMASTDEG_P,Weighted,0.0779673675427042
firearm_retailers_per_100sqmi,Weighted,0.0536451681398826
sports_MP33018a_B_P,Weighted,0.0382977312787938
raceandhispanicorigin_WHITE20_P,Weighted,0.0703864756051231
raceandhispanicorigin_BLACK20_P,Weighted,0.000501563630020097
raceandhispanicorigin_ASIAN20_P,Weighted,0.0147519589469948
raceandhispanicorigin_RACE2UP20_P,Weighted,0.0873630003097049
hispanicorigin_HISPPOP20_P,Weighted,0.0334039573874627
log_med_HH_income,Weighted,0.030736060224514
log_med_HH_income_15to24,Weighted,0.0206132371893875
CompositeIndex2014to2021,Weighted,0.0132399509210097
