Covariate,Dataset,Absolute Correlation
State_Name,Unadjusted,0.0243822021282565
populationtotals_TOTPOP20,Unadjusted,0.014753110276831
populationtotals_DPOP_CY,Unadjusted,0.159207826696649
housing_per_100sqmi,Unadjusted,0.339237562631016
schools_per_100sqmi,Unadjusted,0.346915580202829
area_sq_miles,Unadjusted,0.336011913100373
pop_institutionalized_groupquarters,Unadjusted,0.0941414941110325
percent_adult,Unadjusted,0.00279364789603793
householdincome_ACSSNAP_P,Unadjusted,0.167313269863756
householdincome_ACSPUBAI_P,Unadjusted,0.0959515349230938
households_ACSHHBPOV_P,Unadjusted,0.177086870710003
EmploymentUnemployment_UNEMP_CY_P,Unadjusted,0.062372399686617
EmploymentUnemployment_UNAGE16CY_P,Unadjusted,0.0353275022703643
vehiclesavailable_ACSOVEH0_P,Unadjusted,0.0187002757499849
crime_CRMCYTOTC,Unadjusted,0.327531102540741
mean_depression,Unadjusted,0.0369912829568057
mean_distress,Unadjusted,0.123073879577099
educationalattainment_ACSBACHDEG_P,Unadjusted,0.045886195266677
educationalattainment_ACSMASTDEG_P,Unadjusted,0.086453311582242
firearm_retailers_per_100sqmi,Unadjusted,0.222083330601235
sports_MP33018a_B_P,Unadjusted,0.110219305890242
raceandhispanicorigin_WHITE20_P,Unadjusted,0.19548342587606
raceandhispanicorigin_BLACK20_P,Unadjusted,0.164823607434399
raceandhispanicorigin_ASIAN20_P,Unadjusted,0.116878627138069
raceandhispanicorigin_RACE2UP20_P,Unadjusted,0.229621380466789
hispanicorigin_HISPPOP20_P,Unadjusted,0.231250254272421
log_med_HH_income,Unadjusted,0.198241584584339
log_med_HH_income_15to24,Unadjusted,0.0333709426180649
CompositeIndex2014to2021,Unadjusted,0.0227275752491784
State_Name,Matched,0.0286870418388843
populationtotals_TOTPOP20,Matched,0.0513902133066908
populationtotals_DPOP_CY,Matched,0.23226980570771
housing_per_100sqmi,Matched,0.21148953973443
schools_per_100sqmi,Matched,0.230857426393056
area_sq_miles,Matched,0.0162017094425865
pop_institutionalized_groupquarters,Matched,0.00181970988554249
percent_adult,Matched,0.00851530707638346
householdincome_ACSSNAP_P,Matched,0.0253585576790178
householdincome_ACSPUBAI_P,Matched,0.00578162346355198
households_ACSHHBPOV_P,Matched,0.0173991823832137
EmploymentUnemployment_UNEMP_CY_P,Matched,0.0277962461779859
EmploymentUnemployment_UNAGE16CY_P,Matched,0.00684908668881208
vehiclesavailable_ACSOVEH0_P,Matched,0.112885908686282
crime_CRMCYTOTC,Matched,0.0635063980020184
mean_depression,Matched,0.0187750849657085
mean_distress,Matched,0.0733203568169245
educationalattainment_ACSBACHDEG_P,Matched,0.0328444417707154
educationalattainment_ACSMASTDEG_P,Matched,0.011530935627986
firearm_retailers_per_100sqmi,Matched,0.161465090165451
sports_MP33018a_B_P,Matched,0.171387819761414
raceandhispanicorigin_WHITE20_P,Matched,0.160079576286297
raceandhispanicorigin_BLACK20_P,Matched,0.170921399870159
raceandhispanicorigin_ASIAN20_P,Matched,0.108136932211124
raceandhispanicorigin_RACE2UP20_P,Matched,0.122628168235683
hispanicorigin_HISPPOP20_P,Matched,0.00623918238319623
log_med_HH_income,Matched,0.00153263321124159
log_med_HH_income_15to24,Matched,0.00548487968178275
CompositeIndex2014to2021,Matched,0.0164526226453795
