Covariate,Dataset,Absolute Correlation
State_Name,Unadjusted,0.0243822021282565
populationtotals_TOTPOP20,Unadjusted,0.014753110276831
populationtotals_DPOP_CY,Unadjusted,0.159207826696649
housing_per_100sqmi,Unadjusted,0.339237562631016
schools_per_100sqmi,Unadjusted,0.346915580202829
area_sq_miles,Unadjusted,0.336011913100373
pop_institutionalized_groupquarters,Unadjusted,0.0941414941110325
percent_adult,Unadjusted,0.00279364789603793
householdincome_ACSSNAP_P,Unadjusted,0.167313269863756
householdincome_ACSPUBAI_P,Unadjusted,0.0959515349230938
households_ACSHHBPOV_P,Unadjusted,0.177086870710003
EmploymentUnemployment_UNEMP_CY_P,Unadjusted,0.062372399686617
EmploymentUnemployment_UNAGE16CY_P,Unadjusted,0.0353275022703643
vehiclesavailable_ACSOVEH0_P,Unadjusted,0.0187002757499849
crime_CRMCYTOTC,Unadjusted,0.327531102540741
mean_depression,Unadjusted,0.0369912829568057
mean_distress,Unadjusted,0.123073879577099
educationalattainment_ACSBACHDEG_P,Unadjusted,0.045886195266677
educationalattainment_ACSMASTDEG_P,Unadjusted,0.086453311582242
firearm_retailers_per_100sqmi,Unadjusted,0.222083330601235
sports_MP33018a_B_P,Unadjusted,0.110219305890242
raceandhispanicorigin_WHITE20_P,Unadjusted,0.19548342587606
raceandhispanicorigin_BLACK20_P,Unadjusted,0.164823607434399
raceandhispanicorigin_ASIAN20_P,Unadjusted,0.116878627138069
raceandhispanicorigin_RACE2UP20_P,Unadjusted,0.229621380466789
hispanicorigin_HISPPOP20_P,Unadjusted,0.231250254272421
log_med_HH_income,Unadjusted,0.198241584584339
log_med_HH_income_15to24,Unadjusted,0.0333709426180649
CompositeIndex2014to2021,Unadjusted,0.0227275752491784
State_Name,Matched,0.0370771744840032
populationtotals_TOTPOP20,Matched,0.0364728110078479
populationtotals_DPOP_CY,Matched,0.128911701322802
housing_per_100sqmi,Matched,0.0507787987073134
schools_per_100sqmi,Matched,0.000650022658382918
area_sq_miles,Matched,0.0737178949527133
pop_institutionalized_groupquarters,Matched,0.198375721214428
percent_adult,Matched,0.030929384991077
householdincome_ACSSNAP_P,Matched,0.113091801132424
householdincome_ACSPUBAI_P,Matched,0.00314870117872813
households_ACSHHBPOV_P,Matched,0.104274389919074
EmploymentUnemployment_UNEMP_CY_P,Matched,0.0341299118970115
EmploymentUnemployment_UNAGE16CY_P,Matched,0.061533952923503
vehiclesavailable_ACSOVEH0_P,Matched,0.0699004619443393
crime_CRMCYTOTC,Matched,0.0384925372212333
mean_depression,Matched,0.00536175935884705
mean_distress,Matched,0.0658516416353283
educationalattainment_ACSBACHDEG_P,Matched,0.150330135084696
educationalattainment_ACSMASTDEG_P,Matched,0.129271328323105
firearm_retailers_per_100sqmi,Matched,0.157291345531651
sports_MP33018a_B_P,Matched,0.142372478076847
raceandhispanicorigin_WHITE20_P,Matched,0.121612894838098
raceandhispanicorigin_BLACK20_P,Matched,0.158054398749109
raceandhispanicorigin_ASIAN20_P,Matched,0.146305042185683
raceandhispanicorigin_RACE2UP20_P,Matched,0.00418626164609129
hispanicorigin_HISPPOP20_P,Matched,0.0170919085574896
log_med_HH_income,Matched,0.13806542335729
log_med_HH_income_15to24,Matched,0.00183861482051858
CompositeIndex2014to2021,Matched,0.0185009803231282
