Covariate,Dataset,Absolute Correlation
State_Name,Unadjusted,0.0155708064887392
urbanicity,Unadjusted,0.071764875853007
populationtotals_TOTPOP20,Unadjusted,0.00670542962333438
populationtotals_DPOP_CY,Unadjusted,0.109076930666363
housing_per_100sqmi,Unadjusted,0.187172217387218
schools_per_100sqmi,Unadjusted,0.194639516468145
area_sq_miles,Unadjusted,0.17943906381454
pop_institutionalized_groupquarters,Unadjusted,0.0740081147827338
percent_adult,Unadjusted,0.0243203340891756
householdincome_ACSSNAP_P,Unadjusted,0.0860369371849654
householdincome_ACSPUBAI_P,Unadjusted,0.0424154397234385
households_ACSHHBPOV_P,Unadjusted,0.0908250242930516
EmploymentUnemployment_UNEMP_CY_P,Unadjusted,0.00494678813329534
EmploymentUnemployment_UNAGE16CY_P,Unadjusted,0.00216173552367801
vehiclesavailable_ACSOVEH0_P,Unadjusted,0.0336182557859235
crime_CRMCYTOTC,Unadjusted,0.188772969847205
mean_depression,Unadjusted,0.0922852813982357
mean_distress,Unadjusted,0.0735618514762626
educationalattainment_ACSBACHDEG_P,Unadjusted,0.0253158470935636
educationalattainment_ACSMASTDEG_P,Unadjusted,0.0656370945552398
firearm_retailers_per_100sqmi,Unadjusted,0.416805030812499
sports_MP33018a_B_P,Unadjusted,0.01497694623016
raceandhispanicorigin_WHITE20_P,Unadjusted,0.0364630746948226
raceandhispanicorigin_BLACK20_P,Unadjusted,0.0323607537664119
raceandhispanicorigin_ASIAN20_P,Unadjusted,0.0373871702139588
raceandhispanicorigin_RACE2UP20_P,Unadjusted,0.164348749012409
hispanicorigin_HISPPOP20_P,Unadjusted,0.134130683970868
log_med_HH_income,Unadjusted,0.130916867882875
log_med_HH_income_15to24,Unadjusted,0.0441120206019956
CompositeIndex2014to2021,Unadjusted,0.0376455950778218
State_Name,Matched,0.0443673173578479
urbanicity,Matched,0.0772276431832937
populationtotals_TOTPOP20,Matched,0.071974074336643
populationtotals_DPOP_CY,Matched,0.0690824027745052
housing_per_100sqmi,Matched,0.0681996296356873
schools_per_100sqmi,Matched,0.0500439143213697
area_sq_miles,Matched,0.0695127627215346
pop_institutionalized_groupquarters,Matched,0.0216741957047901
percent_adult,Matched,0.0344790686587728
householdincome_ACSSNAP_P,Matched,0.145539665537084
householdincome_ACSPUBAI_P,Matched,0.00915100673732603
households_ACSHHBPOV_P,Matched,0.130651460336761
EmploymentUnemployment_UNEMP_CY_P,Matched,0.116132618648122
EmploymentUnemployment_UNAGE16CY_P,Matched,0.028156684639211
vehiclesavailable_ACSOVEH0_P,Matched,0.12563285298125
crime_CRMCYTOTC,Matched,0.0640036738675533
mean_depression,Matched,0.0257526767852828
mean_distress,Matched,0.0770769028847032
educationalattainment_ACSBACHDEG_P,Matched,0.140741466946657
educationalattainment_ACSMASTDEG_P,Matched,0.111651735349058
firearm_retailers_per_100sqmi,Matched,0.0311856952915605
sports_MP33018a_B_P,Matched,0.114165401444694
raceandhispanicorigin_WHITE20_P,Matched,0.0330745622944433
raceandhispanicorigin_BLACK20_P,Matched,0.0228719962278828
raceandhispanicorigin_ASIAN20_P,Matched,0.0492597434317614
raceandhispanicorigin_RACE2UP20_P,Matched,0.0163962795039716
hispanicorigin_HISPPOP20_P,Matched,0.0230215486174868
log_med_HH_income,Matched,0.169263276926495
log_med_HH_income_15to24,Matched,0.046198654217676
CompositeIndex2014to2021,Matched,0.125336765962694
