Covariate,Dataset,Absolute Correlation
State_Name,Unadjusted,0.0243822021282565
urbanicity,Unadjusted,0.121620914560471
populationtotals_TOTPOP20,Unadjusted,0.014753110276831
populationtotals_DPOP_CY,Unadjusted,0.159207826696649
housing_per_100sqmi,Unadjusted,0.339237562631016
schools_per_100sqmi,Unadjusted,0.346915580202829
area_sq_miles,Unadjusted,0.336011913100373
pop_institutionalized_groupquarters,Unadjusted,0.0941414941110325
percent_adult,Unadjusted,0.00279364789603793
householdincome_ACSSNAP_P,Unadjusted,0.167313269863756
householdincome_ACSPUBAI_P,Unadjusted,0.0959515349230938
households_ACSHHBPOV_P,Unadjusted,0.177086870710003
EmploymentUnemployment_UNEMP_CY_P,Unadjusted,0.062372399686617
EmploymentUnemployment_UNAGE16CY_P,Unadjusted,0.0353275022703643
vehiclesavailable_ACSOVEH0_P,Unadjusted,0.0187002757499849
crime_CRMCYTOTC,Unadjusted,0.327531102540741
mean_depression,Unadjusted,0.0369912829568057
mean_distress,Unadjusted,0.123073879577099
educationalattainment_ACSBACHDEG_P,Unadjusted,0.045886195266677
educationalattainment_ACSMASTDEG_P,Unadjusted,0.086453311582242
firearm_retailers_per_100sqmi,Unadjusted,0.222083330601235
sports_MP33018a_B_P,Unadjusted,0.110219305890242
raceandhispanicorigin_WHITE20_P,Unadjusted,0.19548342587606
raceandhispanicorigin_BLACK20_P,Unadjusted,0.164823607434399
raceandhispanicorigin_ASIAN20_P,Unadjusted,0.116878627138069
raceandhispanicorigin_RACE2UP20_P,Unadjusted,0.229621380466789
hispanicorigin_HISPPOP20_P,Unadjusted,0.231250254272421
log_med_HH_income,Unadjusted,0.198241584584339
log_med_HH_income_15to24,Unadjusted,0.0333709426180649
CompositeIndex2014to2021,Unadjusted,0.0227275752491784
State_Name,Weighted,0.0559383757217584
urbanicity,Weighted,0.149125731463265
populationtotals_TOTPOP20,Weighted,0.116195659658042
populationtotals_DPOP_CY,Weighted,0.359032406037165
housing_per_100sqmi,Weighted,0.0501226244164651
schools_per_100sqmi,Weighted,0.344253675512905
area_sq_miles,Weighted,0.189134212506859
pop_institutionalized_groupquarters,Weighted,0.439902215758336
percent_adult,Weighted,0.287491442901903
householdincome_ACSSNAP_P,Weighted,0.517315178191258
householdincome_ACSPUBAI_P,Weighted,0.789008250350599
households_ACSHHBPOV_P,Weighted,0.379708614126453
EmploymentUnemployment_UNEMP_CY_P,Weighted,0.763059979547765
EmploymentUnemployment_UNAGE16CY_P,Weighted,0.594170978826343
vehiclesavailable_ACSOVEH0_P,Weighted,0.438506478478536
crime_CRMCYTOTC,Weighted,0.845393801290426
mean_depression,Weighted,0.106249886823142
mean_distress,Weighted,0.0693430268828707
educationalattainment_ACSBACHDEG_P,Weighted,0.0455129156361826
educationalattainment_ACSMASTDEG_P,Weighted,0.51448237724218
firearm_retailers_per_100sqmi,Weighted,0.379359355491276
sports_MP33018a_B_P,Weighted,0.355997188429185
raceandhispanicorigin_WHITE20_P,Weighted,0.128373378371649
raceandhispanicorigin_BLACK20_P,Weighted,0.25532686777789
raceandhispanicorigin_ASIAN20_P,Weighted,0.637914839378512
raceandhispanicorigin_RACE2UP20_P,Weighted,0.130752382236271
hispanicorigin_HISPPOP20_P,Weighted,0.172061776763314
log_med_HH_income,Weighted,0.457618311042319
log_med_HH_income_15to24,Weighted,0.14342414065345
CompositeIndex2014to2021,Weighted,0.087724437016865
