Covariate,Dataset,Absolute Correlation
State_Name,Unadjusted,0.0155708064887392
urbanicity,Unadjusted,0.071764875853007
populationtotals_TOTPOP20,Unadjusted,0.00670542962333438
populationtotals_DPOP_CY,Unadjusted,0.109076930666363
housing_per_100sqmi,Unadjusted,0.187172217387218
schools_per_100sqmi,Unadjusted,0.194639516468145
area_sq_miles,Unadjusted,0.17943906381454
pop_institutionalized_groupquarters,Unadjusted,0.0740081147827338
percent_adult,Unadjusted,0.0243203340891756
householdincome_ACSSNAP_P,Unadjusted,0.0860369371849654
householdincome_ACSPUBAI_P,Unadjusted,0.0424154397234385
households_ACSHHBPOV_P,Unadjusted,0.0908250242930516
EmploymentUnemployment_UNEMP_CY_P,Unadjusted,0.00494678813329534
EmploymentUnemployment_UNAGE16CY_P,Unadjusted,0.00216173552367801
vehiclesavailable_ACSOVEH0_P,Unadjusted,0.0336182557859235
crime_CRMCYTOTC,Unadjusted,0.188772969847205
mean_depression,Unadjusted,0.0922852813982357
mean_distress,Unadjusted,0.0735618514762626
educationalattainment_ACSBACHDEG_P,Unadjusted,0.0253158470935636
educationalattainment_ACSMASTDEG_P,Unadjusted,0.0656370945552398
firearm_retailers_per_100sqmi,Unadjusted,0.416805030812499
sports_MP33018a_B_P,Unadjusted,0.01497694623016
raceandhispanicorigin_WHITE20_P,Unadjusted,0.0364630746948226
raceandhispanicorigin_BLACK20_P,Unadjusted,0.0323607537664119
raceandhispanicorigin_ASIAN20_P,Unadjusted,0.0373871702139588
raceandhispanicorigin_RACE2UP20_P,Unadjusted,0.164348749012409
hispanicorigin_HISPPOP20_P,Unadjusted,0.134130683970868
log_med_HH_income,Unadjusted,0.130916867882875
log_med_HH_income_15to24,Unadjusted,0.0441120206019956
CompositeIndex2014to2021,Unadjusted,0.0376455950778218
State_Name,Weighted,0.0901368233224407
urbanicity,Weighted,0.291516589075697
populationtotals_TOTPOP20,Weighted,0.0361773263377338
populationtotals_DPOP_CY,Weighted,0.644115725613325
housing_per_100sqmi,Weighted,0.197984560644668
schools_per_100sqmi,Weighted,0.12495379625953
area_sq_miles,Weighted,0.577758614017603
pop_institutionalized_groupquarters,Weighted,0.716504183482463
percent_adult,Weighted,0.0130364435358057
householdincome_ACSSNAP_P,Weighted,0.463790968775021
householdincome_ACSPUBAI_P,Weighted,0.0537632243319125
households_ACSHHBPOV_P,Weighted,0.11012306123951
EmploymentUnemployment_UNEMP_CY_P,Weighted,0.319694850209846
EmploymentUnemployment_UNAGE16CY_P,Weighted,0.048693356446408
vehiclesavailable_ACSOVEH0_P,Weighted,0.383996191916656
crime_CRMCYTOTC,Weighted,0.0852818851554808
mean_depression,Weighted,0.758044455624533
mean_distress,Weighted,0.548417901438545
educationalattainment_ACSBACHDEG_P,Weighted,0.100931857299776
educationalattainment_ACSMASTDEG_P,Weighted,0.427563367028071
firearm_retailers_per_100sqmi,Weighted,0.717003338896005
sports_MP33018a_B_P,Weighted,0.127660915029563
raceandhispanicorigin_WHITE20_P,Weighted,0.180165432281888
raceandhispanicorigin_BLACK20_P,Weighted,0.366394995191904
raceandhispanicorigin_ASIAN20_P,Weighted,0.252103953445546
raceandhispanicorigin_RACE2UP20_P,Weighted,0.477111172253802
hispanicorigin_HISPPOP20_P,Weighted,0.613748000298692
log_med_HH_income,Weighted,0.208701147941971
log_med_HH_income_15to24,Weighted,0.507978658947659
CompositeIndex2014to2021,Weighted,0.772825623132539
