Exposure,Trim,Cat_Confounder,Model,Effect,CI_95ct_lower,CI_95ct_upper
mean_dist_commercial_dealers,1.99,state,GPS Matching (CRSE),0.8944,0.8539,0.9368
mean_dist_commercial_dealers,1.99,state,GPS Matching (GEE),0.8888,0.8683,0.9098
mean_dist_commercial_dealers,1.99,state,Logistic,0.9223,0.8958,0.9495
mean_dist_commercial_dealers,1.99,state,Negative Binomial,0.9234,0.8973,0.9503
mean_dist_commercial_dealers,1.99,state,Weight,0.946,0.9398,0.9522
mean_dist_commercial_dealers,1.99,state.urbanicity,GPS Matching (CRSE),0.8876,0.8465,0.9306
mean_dist_commercial_dealers,1.99,state.urbanicity,GPS Matching (GEE),0.8912,0.8708,0.912
mean_dist_commercial_dealers,1.99,state.urbanicity,Logistic,0.9227,0.8961,0.95
mean_dist_commercial_dealers,1.99,state.urbanicity,Negative Binomial,0.9238,0.8976,0.9508
mean_dist_commercial_dealers,1.99,state.urbanicity,Weight,0.9252,0.9188,0.9318
mean_dist_commercial_dealers,5.95,state,GPS Matching (CRSE),0.865,0.8245,0.9075
mean_dist_commercial_dealers,5.95,state,GPS Matching (GEE),0.8885,0.8634,0.9144
mean_dist_commercial_dealers,5.95,state,Logistic,0.9249,0.8921,0.959
mean_dist_commercial_dealers,5.95,state,Negative Binomial,0.9265,0.8941,0.96
mean_dist_commercial_dealers,5.95,state,Weight,0.8624,0.8461,0.879
mean_dist_commercial_dealers,5.95,state.urbanicity,GPS Matching (CRSE),0.8635,0.8305,0.8979
mean_dist_commercial_dealers,5.95,state.urbanicity,GPS Matching (GEE),0.89,0.8649,0.9157
mean_dist_commercial_dealers,5.95,state.urbanicity,Logistic,0.925,0.8922,0.9591
mean_dist_commercial_dealers,5.95,state.urbanicity,Negative Binomial,0.9266,0.8942,0.9602
mean_dist_commercial_dealers,5.95,state.urbanicity,Weight,0.8312,0.8133,0.8495
