Covariate,Dataset,Absolute Correlation
State_Name,Unadjusted,0.0243184676041126
urbanicity,Unadjusted,0.120100465044574
populationtotals_TOTPOP20,Unadjusted,0.0246890078190297
populationtotals_DPOP_CY,Unadjusted,0.16425918000115
pop_institutionalized_groupquarters,Unadjusted,0.101784000871378
housing_per_100sqmi,Unadjusted,0.315271370685596
schools_per_100sqmi,Unadjusted,0.325993029586615
area_sq_miles,Unadjusted,0.312055741469619
percent_adult,Unadjusted,0.00981422860833826
log_med_HH_income,Unadjusted,0.195983703750106
log_med_HH_income_15to24,Unadjusted,0.0444822082534509
householdincome_ACSSNAP_P,Unadjusted,0.156902127138936
householdincome_ACSPUBAI_P,Unadjusted,0.0867228638682078
households_ACSHHBPOV_P,Unadjusted,0.170056502837545
EmploymentUnemployment_UNEMP_CY_P,Unadjusted,0.0518407812879938
EmploymentUnemployment_UNAGE16CY_P,Unadjusted,0.0280530012804461
vehiclesavailable_ACSOVEH0_P,Unadjusted,0.0127899016628424
educationalattainment_ACSBACHDEG_P,Unadjusted,0.0403643465002486
educationalattainment_ACSMASTDEG_P,Unadjusted,0.080229344281495
mean_depression,Unadjusted,0.0348920597300926
mean_distress,Unadjusted,0.107252722530319
crime_CRMCYTOTC,Unadjusted,0.321172284406315
firearm_retailers_per_100sqmi,Unadjusted,0.219090603025465
sports_MP33018a_B_P,Unadjusted,0.0839132698185502
CompositeIndex2014to2021,Unadjusted,0.0189901435603393
raceandhispanicorigin_WHITE20_P,Unadjusted,0.169645858342677
raceandhispanicorigin_BLACK20_P,Unadjusted,0.151292942496221
raceandhispanicorigin_ASIAN20_P,Unadjusted,0.109791960294242
raceandhispanicorigin_RACE2UP20_P,Unadjusted,0.210426817710831
hispanicorigin_HISPPOP20_P,Unadjusted,0.211045852718194
State_Name,Matched,0.0231771223972517
urbanicity,Matched,0.0656610595672451
populationtotals_TOTPOP20,Matched,0.0030151207886429
populationtotals_DPOP_CY,Matched,0.250765892580441
pop_institutionalized_groupquarters,Matched,0.22946964858096
housing_per_100sqmi,Matched,0.245755574170368
schools_per_100sqmi,Matched,0.0101764017536342
area_sq_miles,Matched,0.00755860085568564
percent_adult,Matched,0.00926413957260809
log_med_HH_income,Matched,0.016374599202033
log_med_HH_income_15to24,Matched,0.0277914430626607
householdincome_ACSSNAP_P,Matched,0.0151643422331805
householdincome_ACSPUBAI_P,Matched,0.028541896181686
households_ACSHHBPOV_P,Matched,0.029382886989259
EmploymentUnemployment_UNEMP_CY_P,Matched,0.0248875874982393
EmploymentUnemployment_UNAGE16CY_P,Matched,0.0753216999033505
vehiclesavailable_ACSOVEH0_P,Matched,0.0484411620707295
educationalattainment_ACSBACHDEG_P,Matched,0.0444314186395505
educationalattainment_ACSMASTDEG_P,Matched,0.0149919074947624
mean_depression,Matched,0.124185450874195
mean_distress,Matched,0.0172331314808701
crime_CRMCYTOTC,Matched,0.152045046849834
firearm_retailers_per_100sqmi,Matched,0.00953602820686857
sports_MP33018a_B_P,Matched,0.161241361554839
CompositeIndex2014to2021,Matched,0.152987273811704
raceandhispanicorigin_WHITE20_P,Matched,0.180366624767484
raceandhispanicorigin_BLACK20_P,Matched,0.100172439538394
raceandhispanicorigin_ASIAN20_P,Matched,0.116170640907234
raceandhispanicorigin_RACE2UP20_P,Matched,0.0142213972230352
hispanicorigin_HISPPOP20_P,Matched,0.0704671831998394
