Covariate,Dataset,Absolute Correlation
State_Name,Unadjusted,0.0243184676041126
urbanicity,Unadjusted,0.120100465044574
populationtotals_TOTPOP20,Unadjusted,0.0246890078190297
populationtotals_DPOP_CY,Unadjusted,0.16425918000115
pop_institutionalized_groupquarters,Unadjusted,0.101784000871378
housing_per_100sqmi,Unadjusted,0.315271370685596
schools_per_100sqmi,Unadjusted,0.325993029586615
area_sq_miles,Unadjusted,0.312055741469619
percent_adult,Unadjusted,0.00981422860833826
log_med_HH_income,Unadjusted,0.195983703750106
log_med_HH_income_15to24,Unadjusted,0.0444822082534509
householdincome_ACSSNAP_P,Unadjusted,0.156902127138936
householdincome_ACSPUBAI_P,Unadjusted,0.0867228638682078
households_ACSHHBPOV_P,Unadjusted,0.170056502837545
EmploymentUnemployment_UNEMP_CY_P,Unadjusted,0.0518407812879938
EmploymentUnemployment_UNAGE16CY_P,Unadjusted,0.0280530012804461
vehiclesavailable_ACSOVEH0_P,Unadjusted,0.0127899016628424
educationalattainment_ACSBACHDEG_P,Unadjusted,0.0403643465002486
educationalattainment_ACSMASTDEG_P,Unadjusted,0.080229344281495
mean_depression,Unadjusted,0.0348920597300926
mean_distress,Unadjusted,0.107252722530319
crime_CRMCYTOTC,Unadjusted,0.321172284406315
firearm_retailers_per_100sqmi,Unadjusted,0.219090603025465
sports_MP33018a_B_P,Unadjusted,0.0839132698185502
CompositeIndex2014to2021,Unadjusted,0.0189901435603393
raceandhispanicorigin_WHITE20_P,Unadjusted,0.169645858342677
raceandhispanicorigin_BLACK20_P,Unadjusted,0.151292942496221
raceandhispanicorigin_ASIAN20_P,Unadjusted,0.109791960294242
raceandhispanicorigin_RACE2UP20_P,Unadjusted,0.210426817710831
hispanicorigin_HISPPOP20_P,Unadjusted,0.211045852718194
State_Name,Weighted,0.0689479211911344
urbanicity,Weighted,0.0396419049913664
populationtotals_TOTPOP20,Weighted,0.0083434951407582
populationtotals_DPOP_CY,Weighted,0.0409477610737602
pop_institutionalized_groupquarters,Weighted,0.0548313470028665
housing_per_100sqmi,Weighted,0.0418111633872337
schools_per_100sqmi,Weighted,0.035450036816045
area_sq_miles,Weighted,0.0808276390461646
percent_adult,Weighted,0.0715652219275096
log_med_HH_income,Weighted,0.0354367054364056
log_med_HH_income_15to24,Weighted,0.00696901971575778
householdincome_ACSSNAP_P,Weighted,0.0372301901119277
householdincome_ACSPUBAI_P,Weighted,0.00918088952763868
households_ACSHHBPOV_P,Weighted,0.0169776970387664
EmploymentUnemployment_UNEMP_CY_P,Weighted,0.0310077672775977
EmploymentUnemployment_UNAGE16CY_P,Weighted,0.0191282679801182
vehiclesavailable_ACSOVEH0_P,Weighted,0.0451575765139095
educationalattainment_ACSBACHDEG_P,Weighted,0.0584228127098124
educationalattainment_ACSMASTDEG_P,Weighted,0.064304446296401
mean_depression,Weighted,0.0433030699361186
mean_distress,Weighted,0.07002184330566
crime_CRMCYTOTC,Weighted,0.0865005981922415
firearm_retailers_per_100sqmi,Weighted,0.0101589655433522
sports_MP33018a_B_P,Weighted,0.0351875721650308
CompositeIndex2014to2021,Weighted,0.00837338961804841
raceandhispanicorigin_WHITE20_P,Weighted,0.0454153978110575
raceandhispanicorigin_BLACK20_P,Weighted,0.0702632569128113
raceandhispanicorigin_ASIAN20_P,Weighted,0.0503334639722979
raceandhispanicorigin_RACE2UP20_P,Weighted,0.0186695315566769
hispanicorigin_HISPPOP20_P,Weighted,0.0385510376872037
